83,281,313,71
1902,-11,-113,-85,227,-128,2,472,42,27,27,285,286,284,280,301,73
1904,-10,-102,-74,164,-119,2,358,25,32,32,285,286,284,285,298,74
1906,-13,-126,-98,-157,114,2,441,-24,-14,-14,285,286,284,273,315,71
1908,-18,-171,-143,-70,51,2,485,-11,23,23,285,286,284,273,303,66
1910,-23,-215,-187,8,-6,0,472,1,78,78,286,292,280,277,314,61
1912,-30,-278,-250,-19,14,1,479,-2,115,115,285,297,273,270,312,54
1914,-40,-369,-341,-216,156,2,704,-32,178,178,285,307,263,252,310,44
1916,-46,-445,-417,-221,160,2,947,-34,200,200,285,322,248,236,329,38
1918,-51,-500,-472,-255,184,2,1214,-39,200,200,285,322,248,231,323,33
1920,-54,-534,-506,-256,186,2,1368,-40,200,200,285,322,248,226,317,30
1922,-56,-556,-528,-252,182,2,1497,-39,200,200,285,322,248,227,317,28
1924,-56,-559,-531,-245,178,2,1580,-38,200,200,285,322,248,220,306,28
1926,-56,-560,-532,-58,42,2,1623,-9,200,200,285,322,248,202,317,28
1928,-55,-552,-524,-180,131,2,1655,-28,200,200,285,322,248,218,309,29
1930,-53,-533,-505,-505,-119,2,1686,-42,190,190,285,322,248,221,307,31
1932,-50,-505,-477,-628,-45,2,1686,-42,166,166,285,322,248,218,313,34
1934,-47,-476,-448,-536,34,2,1676,-42,147,147,285,322,248,220,304,37
1936,-45,-454,-426,-672,-50,2,1687,-42,121,121,285,322,248,222,318,39
1938,-41,-417,-389,-591,30,2,1678,-42,99,99,285,322,248,223,310,43
1940,-38,-386,-358,-650,-22,2,1678,-42,70,70,285,322,248,214,304,46
1942,-34,-347,-319,-338,114,2,1665,-42,41,41,285,312,258,221,317,50
1944,-31,-316,-288,-253,31,2,1560,-42,18,18,285,304,266,221,305,53
1946,-27,-277,-249,-251,1,2,1321,-42,13,13,285,298,272,242,315,57
1948,-25,-254,-226,-303,-19,2,1061,-42,14,14,285,294,276,246,301,59
1950,-26,-259,-231,-434,-48,2,870,-42,32,32,285,292,278,258,290,58
1952,-27,-268,-240,-405,11,2,770,-42,59,59,285,290,280,255,306,57
1954,-31,-303,-275,-475,-26,2,748,-42,97,97,285,295,275,259,298,53
1956,-36,-351,-323,-571,-35,2,821,-42,144,144,285,304,266,246,316,48
1958,-41,-401,-373,-590,-7,2,1016,-42,178,178,285,315,255,253,309,43
1960,-45,-442,-414,-716,-46,2,1203,-42,196,196,285,322,248,246,305,39
1962,-46,-457,-429,-725,-3,2,1343,-42,180,180,285,322,248,246,317,38
1964,-46,-460,-432,-748,-8,2,1509,-42,147,147,285,322,248,256,313,38
1966,-46,-460,-432,-756,-3,2,1599,-42,128,128,285,322,248,243,321,38
1968,-44,-443,-415,-772,-6,2,1637,-42,106,106,285,322,248,246,315,40
1970,-42,-424,-396,-791,-7,2,1638,-42,87,87,285,321,249,228,305,42
1972,-37,-379,-351,46,307,2,1653,42,142,142,285,322,248,276,321,47
1974,-33,-338,-310,407,133,2,1670,42,123,123,285,322,248,239,319,51
1976,-29,-298,-270,588,67,2,1648,42,92,92,285,319,251,240,306,55
1979,-27,-272,-244,-5,-315,2,1640,-42,-15,-15,285,308,262,269,322,57
1981,-23,-241,-213,-109,79,2,1560,-17,-49,-49,285,301,269,241,313,61
1983,-20,-207,-179,-100,72,2,1108,-15,-34,-34,285,296,274,258,285,64
1985,-19,-193,-165,-275,199,2,523,-42,2,2,285,293,277,276,278,65
1987,-18,-182,-154,-275,199,2,134,-42,52,52,285,291,279,284,263,66
1989,-19,-189,-161,-524,-91,2,33,-42,84,84,285,295,275,274,288,65
1991,-22,-215,-187,-621,-36,2,262,-42,87,87,285,299,271,266,289,62
1993,-21,-211,-183,-3,227,2,508,42,125,125,285,305,265,248,303,63
1995,-5,-91,-63,278,103,2,875,42,28,28,285,302,268,265,307,79
1997,-3,-40,-12,14,-97,2,1123,-22,-132,-97,285,293,277,234,298,81
1999,-1,-22,0,-12,-20,1,977,-7,-138,-138,285,281,289,262,302,83
2001,2,9,0,-475,-170,2,613,-42,-146,-146,285,270,300,255,274,86
2003,2,18,0,-724,-91,2,71,-42,-82,-82,285,267,303,283,262,86
2005,-3,-22,0,-827,-38,2,-344,-42,-13,-13,285,272,298,275,230,81
2007,-7,-62,-34,-842,-5,2,-725,-42,64,64,285,276,294,305,242,77
2010,0,-4,0,-426,316,2,-370,-32,35,35,285,282,288,274,274,84
2012,-1,-9,0,-333,241,2,80,-26,-22,-22,285,283,287,238,294,83
2014,-7,-60,-32,-302,219,2,485,-42,-87,-87,285,280,290,272,301,77
2016,-21,-186,-158,-326,236,2,419,-42,13,13,285,281,289,265,276,63
2018,-49,-441,-413,-607,-103,2,150,-42,200,200,285,299,271,284,276,35
2020,-56,-541,-513,-383,82,2,37,-42,200,200,285,317,253,263,273,28
2022,-62,-607,-579,-302,30,2,278,-42,200,200,285,322,248,287,297,22
2024,-67,-660,-632,-234,25,2,579,-42,200,200,285,322,248,243,299,17
2026,-67,-668,-640,-218,6,2,934,-42,200,200,285,322,248,361,302,17
2028,-61,-619,-591,-266,-18,2,1247,-42,200,200,285,322,248,325,296,23
2030,-50,-519,-491,-196,26,2,1428,-42,200,200,285,322,248,344,283,34
2032,-34,-369,-341,7,74,2,1520,23,200,200,285,322,248,238,301,50
2034,-21,-251,-223,75,25,2,1562,34,130,130,285,322,248,284,286,63
2036,-10,-124,-96,72,-1,2,1547,25,-12,-12,285,322,248,228,304,74
2038,1,-11,0,-192,-259,2,1526,-42,-167,-83,285,313,257,270,295,85
2040,12,99,71,168,132,2,1057,42,-132,-132,285,295,275,252,281,96
2042,21,192,164,295,47,2,551,42,-155,-155,285,277,293,253,256,105
2044,23,224,196,385,33,2,-22,42,-141,-141,285,267,303,279,240,107
2046,20,204,176,375,-4,2,-421,42,-70,-70,285,265,305,269,229,104
2048,10,117,89,325,-18,2,-787,42,46,46,285,271,299,295,232,94
2050,-3,-7,0,295,-11,2,-962,42,159,132,285,284,286,286,230,81
2052,-15,-127,-99,312,6,2,-647,42,189,189,285,302,268,285,268,69
2054,-22,-205,-177,211,-37,2,-215,42,200,200,285,319,251,261,268,62
2056,-28,-268,-240,210,0,2,209,42,200,200,285,322,248,303,287,56
2058,-31,-303,-275,237,10,2,586,42,200,200,285,322,248,244,285,53
2060,-32,-317,-289,259,8,2,921,42,200,200,285,322,248,332,294,52
2062,-32,-320,-292,326,25,2,1171,42,160,160,285,322,248,274,289,52
2064,-29,-295,-267,422,35,2,1384,42,103,103,285,322,248,297,281,55
2066,-23,-240,-212,480,22,2,1499,42,50,50,285,322,248,288,294,61
2068,-17,-181,-153,447,-12,2,1530,42,-2,-2,285,312,258,273,287,67
2071,-14,-143,-115,422,-306,2,1162,42,-33,-33,285,301,269,234,281,70
2073,-8,-90,-62,227,-165,2,715,35,-18,-18,285,296,274,273,274,76
2075,-4,-48,-20,-65,47,2,396,-10,-59,-59,285,293,277,266,269,80
2077,-2,-24,0,-53,39,2,126,-4,-37,-37,285,291,279,288,276,82
2079,1,4,0,-67,48,2,-80,-5,-10,-10,285,289,281,281,268,85
2081,2,18,0,216,104,2,-245,42,66,66,285,291,279,308,287,86
2083,5,45,17,232,6,2,-195,42,72,72,285,295,275,292,287,89
2085,6,58,30,317,31,2,108,42,28,28,285,292,278,286,313,90
2087,11,102,74,34,-104,2,468,-17,-102,-102,285,285,285,266,313,95
2089,15,142,114,423,143,2,641,42,-130,-130,285,275,295,287,305,99
2091,23,216,188,580,58,2,341,42,-161,-161,285,264,306,292,292,107
2093,36,337,309,301,-102,2,-46,42,-200,-200,285,249,321,286,260,120
2095,48,457,429,466,61,2,-412,42,-200,-200,285,248,322,296,264,132
2097,53,518,490,495,11,2,-707,42,-200,-200,285,248,322,295,232,137
2099,59,579,551,664,62,2,-945,42,-200,-200,285,248,322,308,242,143
2101,63,622,594,542,-45,2,-1071,42,-200,-200,285,248,322,304,228,147
2104,66,658,630,221,-160,2,-1181,34,-200,-200,285,248,322,294,236,150
2106,66,660,632,55,-40,2,-1272,8,-200,-200,285,248,322,309,224,150
2108,69,685,657,189,-137,2,-1287,29,-200,-200,285,248,322,301,240,153
2110,72,714,686,95,-69,2,-1326,15,-200,-200,285,248,322,289,228,156
2112,78,770,742,450,130,2,-1330,42,-200,-200,285,248,322,299,229,162
2114,80,795,767,556,39,2,-1357,42,-200,-200,285,248,322,295,229,164
2116,80,799,771,579,8,2,-1401,42,-200,-200,285,248,322,309,237,164
2118,80,800,772,400,-65,2,-1442,42,-200,-200,285,248,322,299,242,164
2120,80,800,772,307,-34,2,-1522,42,-200,-200,285,248,322,300,267,164
2122,78,783,755,236,-26,2,-1531,42,-200,-200,285,248,322,305,226,162
2124,74,747,719,146,-33,2,-1532,42,-200,-200,285,248,322,297,220,158
2126,69,699,671,69,-28,2,-1553,17,-200,-200,285,248,322,305,251,153
2128,63,641,613,295,83,2,-1584,42,-200,-200,285,248,322,311,216,147
2130,54,556,528,444,55,2,-1562,42,-200,-200,285,248,322,304,277,138
2132,43,450,422,574,48,2,-1556,42,-200,-200,285,248,322,314,234,127
2134,34,358,330,339,-86,2,-1542,42,-134,-134,285,248,322,297,248,118
2136,21,234,206,-78,-153,2,-1494,-42,-103,-103,285,248,322,318,233,105
2139,7,80,52,-477,-357,2,-1446,-42,52,52,285,252,318,319,275,91
2141,-11,-80,-52,-397,287,2,-1083,-42,100,100,285,270,300,289,273,73
2143,-16,-147,-119,-226,164,2,-576,-35,122,122,285,284,286,289,297,68
2145,-30,-276,-248,-23,75,2,4,12,200,200,285,302,268,271,306,54
2147,-43,-390,-362,-432,-150,2,460,-42,200,200,285,320,250,262,306,41
2149,-49,-474,-446,-650,-80,2,802,-42,200,200,285,322,248,262,323,35
2151,-53,-521,-493,-696,-17,2,1057,-42,200,200,285,322,248,293,313,31
2153,-55,-545,-517,-692,2,2,1243,-42,200,200,285,322,248,255,323,29
2155,-56,-558,-530,-677,5,2,1375,-42,200,200,285,322,248,258,320,28
2157,-56,-560,-532,-55,228,2,1483,42,200,200,285,322,248,289,310,28
2159,-54,-543,-515,658,262,2,1573,42,200,200,285,322,248,273,330,30
2161,-52,-524,-496,978,117,2,1614,42,200,200,285,322,248,261,317,32
2163,-49,-495,-467,1112,49,2,1660,42,200,200,285,322,248,262,311,35
2165,-44,-449,-421,580,-195,2,1715,42,200,200,285,322,248,323,325,40
2167,-40,-408,-380,447,-49,2,1757,42,188,188,285,322,248,274,313,44
2169,-33,-342,-314,277,-63,2,1764,42,147,147,285,322,248,268,323,51
2171,-23,-248,-220,577,110,2,1720,42,79,79,285,322,248,283,310,61
2173,-15,-166,-138,247,-121,2,1714,42,-8,-8,285,322,248,264,304,69
2176,-4,-48,-20,175,-127,2,1389,27,-132,-132,285,298,272,249,294,80
2178,13,102,74,113,-82,2,834,17,-123,-123,285,284,286,264,284,97
2180,27,243,215,-94,68,2,229,-14,-200,-200,285,266,304,288,255,111
2182,30,291,263,-117,85,2,-266,-18,-200,-200,285,248,322,286,250,114
2184,30,298,270,5,-3,0,-643,0,-164,-164,285,248,322,299,245,114
2186,31,307,279,343,454,2,-871,42,-120,-120,285,248,322,298,237,115
2188,30,301,273,76,-98,2,-1044,0,-101,-101,285,248,322,300,232,114
2190,30,300,272,344,99,2,-1096,42,-56,-56,285,256,314,301,235,114
2192,30,300,272,859,189,2,-1148,42,-42,-42,285,265,305,289,232,114
2194,30,300,272,720,-51,2,-1049,42,-49,-49,285,271,299,308,252,114
2196,27,275,247,103,-227,2,-893,-26,-105,-105,285,268,302,294,261,111
2198,27,271,243,161,21,2,-824,42,-68,-68,285,267,303,312,298,111
2200,28,279,251,107,-20,2,-813,33,-77,-77,285,267,303,313,259,112
2202,30,297,269,275,62,2,-777,42,-89,-89,285,265,305,306,283,114
2204,37,358,330,99,-65,2,-783,17,-173,-173,285,257,313,324,270,121
2207,47,463,435,325,-206,2,-884,42,-200,-200,285,248,322,322,269,131
2209,51,502,474,121,-88,2,-994,19,-200,-200,285,248,322,318,260,135
2211,56,551,523,265,-192,2,-1096,41,-200,-200,285,248,322,323,272,140
2213,60,592,564,304,-220,2,-1150,42,-200,-200,285,248,322,321,252,144
2215,63,624,596,109,-71,2,-1195,19,-200,-200,285,248,322,303,274,147
2217,66,654,626,567,168,2,-1292,42,-200,-200,285,248,322,328,248,150
2219,66,659,631,709,52,2,-1312,42,-200,-200,285,248,322,315,264,150
2221,68,677,649,736,10,2,-1388,42,-200,-200,285,248,322,304,284,152
2223,67,671,643,739,1,2,-1421,42,-200,-200,285,248,322,313,229,151
2225,63,637,609,660,-29,2,-1443,42,-200,-200,285,248,322,301,249,147
2227,57,581,553,560,-37,2,-1448,42,-200,-200,285,248,322,316,221,141
2229,47,488,460,441,-44,2,-1458,42,-200,-200,285,248,322,306,321,131
2231,40,414,386,347,-34,2,-1453,42,-183,-183,285,248,322,306,220,124
